DATE,CPIAUCSL
2013-11-01,234.1
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.46
2014-09-01,237.477
2014-10-01,237.43
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.652
2016-02-01,237.336
2016-03-01,238.08
2016-04-01,238.992
2016-05-01,239.557
2016-06-01,240.222
2016-07-01,240.101
2016-08-01,240.545
2016-09-01,241.176
2016-10-01,241.741
2016-11-01,242.026
2016-12-01,242.637
2017-01-01,243.618
2017-02-01,244.006
2017-03-01,243.892
2017-04-01,244.193
2017-05-01,244.004
2017-06-01,244.163
2017-07-01,244.243
2017-08-01,245.183
2017-09-01,246.435
2017-10-01,246.626
2017-11-01,247.284
2017-12-01,247.805
2018-01-01,248.859
2018-02-01,249.529
2018-03-01,249.577
2018-04-01,250.227
2018-05-01,250.792
2018-06-01,251.018
2018-07-01,251.214
2018-08-01,251.663
2018-09-01,252.182
2018-10-01,252.772
2018-11-01,252.594
2018-12-01,252.767
2019-01-01,252.718
2019-02-01,253.322
2019-03-01,254.202
2019-04-01,255.211
2019-05-01,255.29
2019-06-01,255.159
2019-07-01,255.685
2019-08-01,256.059
2019-09-01,256.511
2019-10-01,257.244
2019-11-01,257.803
2019-12-01,258.616
2020-01-01,259.037
2020-02-01,259.248
2020-03-01,258.124
2020-04-01,256.092
2020-05-01,255.868
2020-06-01,256.986
2020-07-01,258.278
2020-08-01,259.411
2020-09-01,260.029
2020-10-01,260.286
2020-11-01,260.813
2020-12-01,262.035
2021-01-01,262.65
2021-02-01,263.638
2021-03-01,264.914
2021-04-01,266.67
2021-05-01,268.444
2021-06-01,270.559
2021-07-01,271.764
2021-08-01,272.87
2021-09-01,274.028
2021-10-01,276.522
2021-11-01,278.711
2021-12-01,280.887
2022-01-01,282.599
2022-02-01,284.61
2022-03-01,287.472
2022-04-01,288.611
2022-05-01,291.268
2022-06-01,294.728
2022-07-01,294.628
2022-08-01,295.32
2022-09-01,296.539
2022-10-01,297.987
2022-11-01,298.598
2022-12-01,298.99
2023-01-01,300.536
2023-02-01,301.648
2023-03-01,301.808
2023-04-01,302.918
2023-05-01,303.294
2023-06-01,303.841
2023-07-01,304.348
2023-08-01,306.269
2023-09-01,307.481
2023-10-01,307.619
