DATE,FEDFUNDS
2013-11-01,0.08
2013-12-01,0.09
2014-01-01,0.07
2014-02-01,0.07
2014-03-01,0.08
2014-04-01,0.09
2014-05-01,0.09
2014-06-01,0.1
2014-07-01,0.09
2014-08-01,0.09
2014-09-01,0.09
2014-10-01,0.09
2014-11-01,0.09
2014-12-01,0.12
2015-01-01,0.11
2015-02-01,0.11
2015-03-01,0.11
2015-04-01,0.12
2015-05-01,0.12
2015-06-01,0.13
2015-07-01,0.13
2015-08-01,0.14
2015-09-01,0.14
2015-10-01,0.12
2015-11-01,0.12
2015-12-01,0.24
2016-01-01,0.34
2016-02-01,0.38
2016-03-01,0.36
2016-04-01,0.37
2016-05-01,0.37
2016-06-01,0.38
2016-07-01,0.39
2016-08-01,0.4
2016-09-01,0.4
2016-10-01,0.4
2016-11-01,0.41
2016-12-01,0.54
2017-01-01,0.65
2017-02-01,0.66
2017-03-01,0.79
2017-04-01,0.9
2017-05-01,0.91
2017-06-01,1.04
2017-07-01,1.15
2017-08-01,1.16
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.16
2017-12-01,1.3
2018-01-01,1.41
2018-02-01,1.42
2018-03-01,1.51
2018-04-01,1.69
2018-05-01,1.7
2018-06-01,1.82
2018-07-01,1.91
2018-08-01,1.91
2018-09-01,1.95
2018-10-01,2.19
2018-11-01,2.2
2018-12-01,2.27
2019-01-01,2.4
2019-02-01,2.4
2019-03-01,2.41
2019-04-01,2.42
2019-05-01,2.39
2019-06-01,2.38
2019-07-01,2.4
2019-08-01,2.13
2019-09-01,2.04
2019-10-01,1.83
2019-11-01,1.55
2019-12-01,1.55
2020-01-01,1.55
2020-02-01,1.58
2020-03-01,0.65
2020-04-01,0.05
2020-05-01,0.05
2020-06-01,0.08
2020-07-01,0.09
2020-08-01,0.1
2020-09-01,0.09
2020-10-01,0.09
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.09
2021-02-01,0.08
2021-03-01,0.07
2021-04-01,0.07
2021-05-01,0.06
2021-06-01,0.08
2021-07-01,0.1
2021-08-01,0.09
2021-09-01,0.08
2021-10-01,0.08
2021-11-01,0.08
2021-12-01,0.08
2022-01-01,0.08
2022-02-01,0.08
2022-03-01,0.2
2022-04-01,0.33
2022-05-01,0.77
2022-06-01,1.21
2022-07-01,1.68
2022-08-01,2.33
2022-09-01,2.56
2022-10-01,3.08
2022-11-01,3.78
2022-12-01,4.1
2023-01-01,4.33
2023-02-01,4.57
2023-03-01,4.65
2023-04-01,4.83
2023-05-01,5.06
2023-06-01,5.08
2023-07-01,5.12
2023-08-01,5.33
2023-09-01,5.33
2023-10-01,5.33
